original_address,clean_address,latitude,longitude
"885 Admiralty Parade E, Naples, FL 34102","885 Admiralty Parade East, Naples, FL 34102",26.099924882211,-81.791654816352
"441 Mooring Line Dr, Naples, FL 34102","441 Mooring Line Dr, Naples, FL 34102",26.1727853,-81.8067962
"110 Kaula Ln, Bonita Springs, FL 34134","110 Kaula Ln, Bonita Springs, FL 34134",26.320519666016,-81.840361520942
"12 Sabre Ln, Naples, FL 34102","12 Sabre Ln, Naples, FL 34102",26.1007826,-81.8011093
"187 10th Ave S, Naples, FL 34102","187 10th Ave South, Naples, FL 34102",26.1353318,-81.8040143
"1818 6th St S, Naples, FL 34102","1818 6th St South, Naples, FL 34102",26.125611,-81.7966174
"2020 7th St S, Naples, FL 34102","2020 7th St South, Naples, FL 34102",26.1243502,-81.7951374
"2375 Snook Dr, Naples, FL 34102","2375 Snook Dr, Naples, FL 34102",26.1210184,-81.7859501
"40 5th Ave S, Naples, FL 34102","40 5th Ave South, Naples, FL 34102",26.1404274,-81.8065724
"605 Admiralty Parade W, Naples, FL 34102","605 Admiralty Parade West, Naples, FL 34102",26.100282263941,-81.794743312532
"1241 Galleon Dr, Naples, FL 34102","1241 Galleon Dr, Naples, FL 34102",26.1141228,-81.7895607
"13323 Rosewood Ln, Naples, FL 34119","13323 Rosewood Ln, Naples, FL 34119",26.298012214266,-81.726887083859
"3295 Gordon Dr, Naples, FL 34102","3295 Gordon Dr, Naples, FL 34102",26.1089613,-81.8016839
"477 3rd St N, Naples, FL 34102","477 3rd St North, Naples, FL 34102",26.1515357,-81.8047291
"1795 Gordon Dr, Naples, FL 34102","1795 Gordon Dr, Naples, FL 34102",26.1255281,-81.802484
"28970 Il Cuore Ct, Naples, FL 34110","28970 Il Cuore Ct, Naples, FL 34110",26.318542548697,-81.779462025418
"1583 Gordon Dr, Naples, FL 34102","1583 Gordon Dr, Naples, FL 34102",26.1278298,-81.8027536
"190 7th Ave N, Naples, FL 34102","190 7th Ave North, Naples, FL 34102",26.1549873,-81.806718
"30 7th Ave S, Naples, FL 34102","30 7th Ave South, Naples, FL 34102",26.1382425,-81.8063111
"950 Admiralty Parade, Naples, FL 34102","950 Admiralty Parade, Naples, FL 34102",26.1000932,-81.7910347
"796 Cassena Rd, Naples, FL 34108","796 Cassena Rd, Naples, FL 34108",26.24712830447,-81.796905523522
"1640 Dolphin Ct, Naples, FL 34102","1640 Dolphin Ct, Naples, FL 34102",26.1283064,-81.7866318
"508 16th Ave S, Naples, FL 34102","508 16th Ave South, Naples, FL 34102",26.1278413,-81.7985937
"3277 Gordon Dr, Naples, FL 34102","3277 Gordon Dr, Naples, FL 34102",26.1090798,-81.8016878
"3595 Gin Ln, Naples, FL 34102","3595 Gin Ln, Naples, FL 34102",26.1066155,-81.7941492
"3540 Gin Ln, Naples, FL 34102","3540 Gin Ln, Naples, FL 34102",26.1072238,-81.7944979
"958 Spyglass Ln, Naples, FL 34102","958 Spyglass Ln, Naples, FL 34102",26.1159409,-81.7941578
"2426 Indian Pipe Way, Naples, FL 34105","2426 Indian Pipe Way, Naples, FL 34105",26.19047897267,-81.764198969923
"7425 Bay Colony Dr, Naples, FL 34108","7425 Bay Colony Dr, Naples, FL 34108",26.248320594815,-81.820825205123
"256 Aqua Ct, Naples, FL 34102","256 Aqua Ct, Naples, FL 34102",26.12313,-81.8015937
"460 2nd Ave N, Naples, FL 34102","460 2nd Ave North, Naples, FL 34102",26.1487881,-81.8019948
"5000 Coconut Rd # 1n, Bonita Springs, FL 34134","5000 Coconut Rd # 1n, Bonita Springs, FL 34134",26.398016834768,-81.836231251157
"225 Cove Ln, Naples, FL 34102","225 Cove Ln, Naples, FL 34102",26.0961974,-81.8006353
"140 3rd Ave S, Naples, FL 34102","140 3rd Ave South, Naples, FL 34102",26.1427574,-81.805611
"26532 Hickory Blvd, Bonita Springs, FL 34134","26532 Hickory Blvd, Bonita Springs, FL 34134",26.3516238,-81.8546422
"1829 S Inlet Dr, Marco Island, FL 34145","1829 South Inlet Dr, Marco Island, FL 34145",25.9095148,-81.6985049
"128 1st Ave S, Naples, FL 34102","128 1st Ave South, Naples, FL 34102",26.1449219,-81.8060576
"160 7th Ave N, Naples, FL 34102","160 7th Ave North, Naples, FL 34102",26.1549266,-81.8070952
"5000 Coconut Rd # 1, Bonita Springs, FL 34134","5000 Coconut Rd # 1, Bonita Springs, FL 34134",26.398016834768,-81.836231251157
"660 21st Ave S, Naples, FL 34102","660 21st Ave South, Naples, FL 34102",26.1222953,-81.7958737
"2140 Kingfish Rd, Naples, FL 34102","2140 Kingfish Rd, Naples, FL 34102",26.1225784,-81.7890256
"1451 Salvadore Ct, Marco Island, FL 34145","1451 Salvadore Ct, Marco Island, FL 34145",25.9204202,-81.7109669
"181 4th Ave N, Naples, FL 34102","181 4th Ave North, Naples, FL 34102",26.1509953,-81.8061333
"575 17th Ave S, Naples, FL 34102","575 17th Ave South, Naples, FL 34102",26.1270031,-81.797553
"544 13th Ave S, Naples, FL 34102","544 13th Ave South, Naples, FL 34102",26.1311834,-81.7983611
"632 Hickory Rd, Naples, FL 34108","632 Hickory Rd, Naples, FL 34108",26.241535283058,-81.79020530735
"371 Hawser Ln, Naples, FL 34102","371 Hawser Ln, Naples, FL 34102",26.1712477,-81.8076191
"3841 Crayton Rd, Naples, FL 34103","3841 Crayton Rd, Naples, FL 34103",26.1926424,-81.8078867
"349 Colony Dr, Naples, FL 34108","349 Colony Dr, Naples, FL 34108",26.249347172864,-81.813500143997
"223 Bayview Ave, Naples, FL 34108","223 Bayview Ave, Naples, FL 34108",26.263113892531,-81.822987556188
"608 16th Ave S, Naples, FL 34102","608 16th Ave South, Naples, FL 34102",26.1279536,-81.7973566
"2145 Coach House Ln, Naples, FL 34105","2145 Coach House Ln, Naples, FL 34105",26.184117947245,-81.778812028603
"117 West St, Naples, FL 34108","117 West St, Naples, FL 34108",26.222407,-81.7978791
"730 21st Ave S, Naples, FL 34102","730 21st Ave South, Naples, FL 34102",26.1223061,-81.7950741
"25 2nd Ave S, Naples, FL 34102","25 2nd Ave South, Naples, FL 34102",26.1438797,-81.8069955
"107 Myrtle Rd, Naples, FL 34108","107 Myrtle Rd, Naples, FL 34108",26.234711857598,-81.796450337694
"260 Channel Dr, Naples, FL 34108","260 Channel Dr, Naples, FL 34108",26.264313772231,-81.821836038152
"198 Caribbean Rd, Naples, FL 34108","198 Caribbean Rd, Naples, FL 34108",26.219173,-81.7955148
"88 - 66 11th Ave S, Naples, FL 34102","88 - 66 11th Ave South, Naples, FL 34102",26.1346184,-81.799929
"2300 Kingfish Rd, Naples, FL 34102","2300 Kingfish Rd, Naples, FL 34102",26.1202109,-81.7893022
"475 Carica Rd, Naples, FL 34108","475 Carica Rd, Naples, FL 34108",26.236534123992,-81.792490585332
"333 Sedgwick Ct, Naples, FL 34108","333 Sedgwick Ct, Naples, FL 34108",26.246468323363,-81.812033688573
"27100 Hickory Blvd, Bonita Springs, FL 34134","27100 Hickory Blvd, Bonita Springs, FL 34134",26.3432642,-81.8505392
"595 16th Ave S, Naples, FL 34102","595 16th Ave South, Naples, FL 34102",26.1281102,-81.7975107
"1940 6th St S, Naples, FL 34102","1940 6th St South, Naples, FL 34102",26.1248041,-81.7965657
"255 21st Ave S, Naples, FL 34102","255 21st Ave South, Naples, FL 34102",26.1223809,-81.8015036
"330 Broad Ave N, Naples, FL 34102","330 Broad Ave North, Naples, FL 34102",26.1539976,-81.8046947
"626 S Golf Dr, Naples, FL 34102","626 South Golf Dr, Naples, FL 34102",26.1569519,-81.8010056
"355 Colony Dr, Naples, FL 34108","355 Colony Dr, Naples, FL 34108",26.249524317246,-81.813188986279
"540 4th Ave N, Naples, FL 34102","540 4th Ave North, Naples, FL 34102",26.1511018,-81.8011433
"16627 Firenze Way, Naples, FL 34110","16627 Firenze Way, Naples, FL 34110",26.310166419664,-81.752450927845
"790 18th Ave S, Naples, FL 34102","790 18th Ave South, Naples, FL 34102",26.1260207,-81.7934137
"2131 Marina Dr, Naples, FL 34102","2131 Marina Dr, Naples, FL 34102",26.1221171,-81.7940697
"3401 Crayton Rd, Naples, FL 34103","3401 Crayton Rd, Naples, FL 34103",26.1873755,-81.8079159
"501 7th Ave N, Naples, FL 34102","501 7th Ave North, Naples, FL 34102",26.1558299,-81.8025553
"273 10th Ave S, Naples, FL 34102","273 10th Ave South, Naples, FL 34102",26.1354735,-81.8027821
"4300 Brynwood Dr, Naples, FL 34119","4300 Brynwood Dr, Naples, FL 34119",26.306802538773,-81.73541573177
"111 5th Ave S, Naples, FL 34102","111 5th Ave South, Naples, FL 34102",26.1406986,-81.8056631
"3637 Crayton Rd, Naples, FL 34103","3637 Crayton Rd, Naples, FL 34103",26.1902249,-81.8078825
"141 Channel Dr, Naples, FL 34108","141 Channel Dr, Naples, FL 34108",26.26408535046,-81.823816598832
"112 1st Ave N, Naples, FL 34102","112 1st Ave North, Naples, FL 34102",26.1471423,-81.8065404
"2231 Forrest Ln, Naples, FL 34102","2231 Forrest Ln, Naples, FL 34102",26.1213487,-81.7962992
"50 Mahogany Dr, Naples, FL 34108","50 Mahogany Dr, Naples, FL 34108",26.22654610417,-81.794467224795
"27460 Hickory Blvd, Bonita Springs, FL 34134","27460 Hickory Blvd, Bonita Springs, FL 34134",26.3388084,-81.8485865
"349 2nd Ave N, Naples, FL 34102","349 2nd Ave North, Naples, FL 34102",26.1487719,-81.8035491
"14 Sabre Ln, Naples, FL 34102","14 Sabre Ln, Naples, FL 34102",26.1007827,-81.801114
"2233 Forrest Ln, Naples, FL 34102","2233 Forrest Ln, Naples, FL 34102",26.1213459,-81.7962823
"1570 Galleon Dr, Naples, FL 34102","1570 Galleon Dr, Naples, FL 34102",26.1095305,-81.789438
"581 14th Ave S, Naples, FL 34102","581 14th Ave South, Naples, FL 34102",26.1302929,-81.797862
"2050 Kingfish Rd, Naples, FL 34102","2050 Kingfish Rd, Naples, FL 34102",26.123974,-81.788573
"208 Hickory Rd, Naples, FL 34108","208 Hickory Rd, Naples, FL 34108",,
"525 Gordonia Rd, Naples, FL 34108","525 Gordonia Rd, Naples, FL 34108",26.237331765618,-81.791018578316
"2500 Tarpon Rd, Naples, FL 34102","2500 Tarpon Rd, Naples, FL 34102",26.1180876,-81.7865663
"350 Spring Line Dr, Naples, FL 34102","350 Spring Line Dr, Naples, FL 34102",26.1691641,-81.8075947
"185 Cajeput Dr, Naples, FL 34108","185 Cajeput Dr, Naples, FL 34108",26.232191799721,-81.796663346081
"1660 Dolphin Ct, Naples, FL 34102","1660 Dolphin Ct, Naples, FL 34102",26.128303,-81.7865732
"3103 Leeward Ln, Naples, FL 34103","3103 Leeward Ln, Naples, FL 34103",26.1829508,-81.8089187
"10 Seagate Dr # 2n, Naples, FL 34103","10 Seagate Dr # 2n, Naples, FL 34103",26.209934721931,-81.816339670073
"774 S Golf Dr, Naples, FL 34102","774 South Golf Dr, Naples, FL 34102",26.1571332,-81.7991847
"309 Neapolitan Way, Naples, FL 34103","309 Neapolitan Way, Naples, FL 34103",26.2011776,-81.8107047
"989 Admiralty Parade E, Naples, FL 34102","989 Admiralty Parade East, Naples, FL 34102",26.100402304367,-81.790697020597
"26756 Hickory Blvd, Bonita Springs, FL 34134","26756 Hickory Blvd, Bonita Springs, FL 34134",26.3481682,-81.852812
"6954 Greentree Dr, Naples, FL 34108","6954 Greentree Dr, Naples, FL 34108",26.239479531135,-81.805619933156
"2750 Treasure Ln, Naples, FL 34102","2750 Treasure Ln, Naples, FL 34102",26.1146868,-81.7977284
"27576 Hickory Blvd, Bonita Springs, FL 34134","27576 Hickory Blvd, Bonita Springs, FL 34134",26.337194,-81.847879
"26724 Hickory Blvd, Bonita Springs, FL 34134","26724 Hickory Blvd, Bonita Springs, FL 34134",26.3486176,-81.853038
"1598 Heights Ct, Marco Island, FL 34145","1598 Heights Ct, Marco Island, FL 34145",25.911064,-81.704479
"1825 Gordon Dr E, Naples, FL 34102","1825 Gordon Dr East, Naples, FL 34102",26.1238406,-81.8020503
"690 7th Ave N, Naples, FL 34102","690 7th Ave North, Naples, FL 34102",26.1560956,-81.7998939
"27390 Hickory Blvd, Bonita Springs, FL 34134","27390 Hickory Blvd, Bonita Springs, FL 34134",26.3396748,-81.8489662
"1084 Old Marco Ln, Marco Island, FL 34145","1084 Old Marco Ln, Marco Island, FL 34145",25.9674362,-81.7305549
"580 Coral Dr, Naples, FL 34102","580 Coral Dr, Naples, FL 34102",26.16608,-81.8036071
"493 8th Ave S, Naples, FL 34102","493 8th Ave South, Naples, FL 34102",26.1380527,-81.7999054
"799 Cassena Rd, Naples, FL 34108","799 Cassena Rd, Naples, FL 34108",26.247254685106,-81.797035975318
"515 Murex Dr, Naples, FL 34102","515 Murex Dr, Naples, FL 34102",26.1653765,-81.8025881
"246 Mermaids Bight, Naples, FL 34103","246 Mermaids Bight, Naples, FL 34103",26.1912609,-81.809484
"3801 Crayton Rd, Naples, FL 34103","3801 Crayton Rd, Naples, FL 34103",26.191689,-81.807792
"1750 4th St S, Naples, FL 34102","1750 4th St South, Naples, FL 34102",26.1261475,-81.799937
"3111 Leeward Ln, Naples, FL 34103","3111 Leeward Ln, Naples, FL 34103",26.1833149,-81.808944
"575 Palm Cir E, Naples, FL 34102","575 Palm Cir East, Naples, FL 34102",26.1531009,-81.8014552
"175 Center St, Naples, FL 34108","175 Center St, Naples, FL 34108",26.2228666,-81.7952206
"2560 W Half Moon Walk, Naples, FL 34102","2560 West Half Moon Walk, Naples, FL 34102",26.115816086905,-81.799722758783
"2201 Shad Ct, Naples, FL 34102","2201 Shad Ct, Naples, FL 34102",26.1218829,-81.7887305
"104 Anguilla Ln, Bonita Springs, FL 34134","104 Anguilla Ln, Bonita Springs, FL 34134",26.328676799743,-81.843086119127
"2020 Gulf Shore Blvd N # 402w, Naples, FL 34102","2020 Gulf Shore Blvd North # 402w, Naples, FL 34102",26.17049632952,-81.811747093904
"470 Banyan Blvd, Naples, FL 34102","470 Banyan Blvd, Naples, FL 34102",26.1628629,-81.8042959
"2211 South Winds Dr, Naples, FL 34102","2211 South Winds Dr, Naples, FL 34102",26.121733551936,-81.797090071458
"1429 Nighthawk Pt, Naples, FL 34105","1429 Nighthawk Pt, Naples, FL 34105",26.180875784501,-81.775728318627
"1389 Great Egret Trl, Naples, FL 34105","1389 Great Egret Trl, Naples, FL 34105",26.1778152,-81.7766734
"598 Spinnaker Dr, Marco Island, FL 34145","598 Spinnaker Dr, Marco Island, FL 34145",25.952015,-81.746353
"1935 7th St S, Naples, FL 34102","1935 7th St South, Naples, FL 34102",26.1249185,-81.7949463
"1555 Nautilus Rd, Naples, FL 34102","1555 Nautilus Rd, Naples, FL 34102",26.1653425,-81.8009568
"651 21st Ave S, Naples, FL 34102","651 21st Ave South, Naples, FL 34102",26.122461,-81.7959517
"1405 Mandarin Rd, Naples, FL 34102","1405 Mandarin Rd, Naples, FL 34102",26.1638475,-81.7999815
"2145 Canna Way, Naples, FL 34105","2145 Canna Way, Naples, FL 34105",26.181700388355,-81.760648642777
"330 Hawser Ln, Naples, FL 34102","330 Hawser Ln, Naples, FL 34102",26.1705994,-81.8079513
"1152 Oakes Blvd, Naples, FL 34119","1152 Oakes Blvd, Naples, FL 34119",26.248181001073,-81.734562645853
"61 12th Ave S, Naples, FL 34102","61 12th Ave South, Naples, FL 34102",26.1318523,-81.8051265
"2755 Lantern Ln, Naples, FL 34102","2755 Lantern Ln, Naples, FL 34102",26.1150185,-81.7988117
"3323 Gin Ln, Naples, FL 34102","3323 Gin Ln, Naples, FL 34102",26.1095487,-81.7951025
"550 Alameda Ct, Marco Island, FL 34145","550 Alameda Ct, Marco Island, FL 34145",25.9238058,-81.7069365
"1779 Crayton Rd, Naples, FL 34102","1779 Crayton Rd, Naples, FL 34102",26.1669294,-81.8059231
"473 Banyan Blvd, Naples, FL 34102","473 Banyan Blvd, Naples, FL 34102",26.1630296,-81.8043018
"3495 Gin Ln, Naples, FL 34102","3495 Gin Ln, Naples, FL 34102",26.1077096,-81.794453
"1990 4th St S, Naples, FL 34102","1990 4th St South, Naples, FL 34102",26.1243251,-81.7997334
"1421 Nighthawk Pt, Naples, FL 34105","1421 Nighthawk Pt, Naples, FL 34105",26.181211992811,-81.77572126882
"1437 Nighthawk Pt, Naples, FL 34105","1437 Nighthawk Pt, Naples, FL 34105",26.18054836831,-81.775726135862
"636 14th Ave S, Naples, FL 34102","636 14th Ave South, Naples, FL 34102",26.130186,-81.7971765
"185 Tupelo Rd, Naples, FL 34108","185 Tupelo Rd, Naples, FL 34108",26.247999883317,-81.794206793426
"154 Cajeput Dr, Naples, FL 34108","154 Cajeput Dr, Naples, FL 34108",26.231595094237,-81.796534283929
"26850 Hickory Blvd, Bonita Springs, FL 34134","26850 Hickory Blvd, Bonita Springs, FL 34134",26.3468389,-81.852167
"617 Gulf Shore Blvd N, Naples, FL 34102","617 Gulf Shore Blvd North, Naples, FL 34102",26.1529736,-81.8077688
"3139 Leeward Ln, Naples, FL 34103","3139 Leeward Ln, Naples, FL 34103",26.1837086,-81.8087818
"337 West St, Naples, FL 34108","337 West St, Naples, FL 34108",26.2291335,-81.7978192
"6536 Highcroft Dr, Naples, FL 34119","6536 Highcroft Dr, Naples, FL 34119",26.305288534495,-81.731772943179
"229 Barefoot Beach Blvd, Bonita Springs, FL 34134","229 Barefoot Beach Blvd, Bonita Springs, FL 34134",26.322622797815,-81.841050630154
"27290 Hickory Blvd, Bonita Springs, FL 34134","27290 Hickory Blvd, Bonita Springs, FL 34134",26.3409125,-81.8495086
"3175 Fort Charles Dr, Naples, FL 34102","3175 Fort Charles Dr, Naples, FL 34102",26.1116287,-81.7984416
"510 Turtle Hatch Ln, Naples, FL 34103","510 Turtle Hatch Ln, Naples, FL 34103",26.1998136,-81.8079329
"1395 Great Egret Trl, Naples, FL 34105","1395 Great Egret Trl, Naples, FL 34105",26.1780065,-81.7766276
"319 Devils Bight, Naples, FL 34103","319 Devils Bight, Naples, FL 34103",26.2044704,-81.8110544
"13665 Vanderbilt Dr # 1102, Naples, FL 34110","13665 Vanderbilt Dr # 1102, Naples, FL 34110",26.294081983835,-81.818490903427
"235 Barefoot Beach Blvd, Bonita Springs, FL 34134","235 Barefoot Beach Blvd, Bonita Springs, FL 34134",26.321917115935,-81.840552237764
"590 6th Ave N, Naples, FL 34102","590 6th Ave North, Naples, FL 34102",26.1536643,-81.8006261
"266 Little Harbour Ln, Naples, FL 34102","266 Little Harbour Ln, Naples, FL 34102",26.1217863,-81.800763
"2020 Gulf Shore Blvd N # 301w, Naples, FL 34102","2020 Gulf Shore Blvd North # 301w, Naples, FL 34102",26.17049632952,-81.811747093904
"15 Casa Mar Ln # 2, Naples, FL 34103","15 Casa Mar Ln # 2, Naples, FL 34103",26.189220291986,-81.815190658318
"1975 Gulf Shore Blvd S, Naples, FL 34102","1975 Gulf Shore Blvd South, Naples, FL 34102",26.1235687,-81.8036745
"705 Shadow Lake Ln, Naples, FL 34108","705 Shadow Lake Ln, Naples, FL 34108",26.240389234721,-81.804272487338
"82 Caribbean Rd, Naples, FL 34108","82 Caribbean Rd, Naples, FL 34108",26.2151918,-81.7964594
"6677 Hunters Rd, Naples, FL 34109","6677 Hunters Rd, Naples, FL 34109",26.228363095611,-81.743966696143
"102 Felipe Ln, Bonita Springs, FL 34134","102 Felipe Ln, Bonita Springs, FL 34134",26.324915771419,-81.842085954206
"831 Caxambas Dr, Marco Island, FL 34145","831 Caxambas Dr, Marco Island, FL 34145",25.9153313,-81.6959817
"4148 Estero Blvd, Fort Myers Beach, FL 33931","4148 Estero Blvd, Fort Myers Beach, FL 33931",26.4391489,-81.9250812
"1425 Crayton Rd, Naples, FL 34102","1425 Crayton Rd, Naples, FL 34102",26.163014,-81.8067116
"570 Harbour Dr, Naples, FL 34103","570 Harbour Dr, Naples, FL 34103",26.1804745,-81.8055151
"186 Carica Rd, Naples, FL 34108","186 Carica Rd, Naples, FL 34108",26.244134292568,-81.791439084167
"1388 Great Egret Trl, Naples, FL 34105","1388 Great Egret Trl, Naples, FL 34105",26.1777833,-81.776484
"1547 Caxambas Ct, Marco Island, FL 34145","1547 Caxambas Ct, Marco Island, FL 34145",25.9126232,-81.7060053
"565 Anchor Rode Dr, Naples, FL 34103","565 Anchor Rode Dr, Naples, FL 34103",26.1877392,-81.8064539
"725 W Lake Dr, Naples, FL 34102","725 West Lake Dr, Naples, FL 34102",26.1386922,-81.8006253
"1611 Collingswood Ct S, Marco Island, FL 34145","1611 Collingswood Ct South, Marco Island, FL 34145",25.925059012335,-81.705344772116
"597 Ridge Dr, Naples, FL 34108","597 Ridge Dr, Naples, FL 34108",26.238048612893,-81.798576196028
"615 West St, Naples, FL 34108","615 West St, Naples, FL 34108",26.2390213,-81.7988387
"2116 Canna Way, Naples, FL 34105","2116 Canna Way, Naples, FL 34105",26.18094455728,-81.762022106866
"16770 Prato Way, Naples, FL 34110","16770 Prato Way, Naples, FL 34110",26.313623121497,-81.752727176638
"185 North Lake Dr, Naples, FL 34102","185 North Lake Dr, Naples, FL 34102",26.1540106,-81.8069541
"39 Cajeput Dr, Naples, FL 34108","39 Cajeput Dr, Naples, FL 34108",26.229950860604,-81.798700604385
"2160 Kingfish Rd, Naples, FL 34102","2160 Kingfish Rd, Naples, FL 34102",26.1223706,-81.789133
"350 Bow Line Bend, Naples, FL 34103","350 Bow Line Bend, Naples, FL 34103",26.174229480148,-81.808319001431
"453 18th Ave S, Naples, FL 34102","453 18th Ave South, Naples, FL 34102",26.1257667,-81.798823
"17406 Via Lugano Ct, Miromar Lakes, FL 33913","17406 Via Lugano Ct, Miromar Lakes, FL 33913",26.475714,-81.764969
"26868 Hickory Blvd, Bonita Springs, FL 34134","26868 Hickory Blvd, Bonita Springs, FL 34134",26.3465822,-81.852048
"424 Spinnaker Dr, Naples, FL 34102","424 Spinnaker Dr, Naples, FL 34102",26.1713887,-81.8068029
"355 7th Ave S, Naples, FL 34102","355 7th Ave South, Naples, FL 34102",26.1388509,-81.8022425
"154 4th Ave N, Naples, FL 34102","154 4th Ave North, Naples, FL 34102",26.1504839,-81.8064799
"506 Neapolitan Ln, Naples, FL 34103","506 Neapolitan Ln, Naples, FL 34103",26.2024499,-81.8077196
